X: 1.100000 | Y: 331.700000
X: 1.100000 | Y: 1705.600000
X: 3.000000 | Y: 2144.100000
X: 3.200000 | Y: 13.900000
X: 12.300000 | Y: 2.400000
X: 137.800000 | Y: 2146.600000
X: 193.900000 | Y: 2147.000000
X: 438.800000 | Y: 2147.500000
X: 547.700000 | Y: 1.200000
X: 607.700000 | Y: 1.200000
X: 1298.600000 | Y: 2147.300000
X: 1858.600000 | Y: 2146.900000
X: 1962.200000 | Y: 1.600000
X: 2068.000000 | Y: 1.900000
X: 2110.500000 | Y: 4.100000
X: 2111.100000 | Y: 2146.700000
X: 2135.300000 | Y: 2133.600000
X: 2143.700000 | Y: 2115.400000
X: 2146.400000 | Y: 2024.500000
X: 2147.100000 | Y: 1826.100000
X: 2147.300000 | Y: 7.400000
X: 2147.300000 | Y: 1603.200000
X: 2147.400000 | Y: 62.000000
X: 2147.500000 | Y: 165.400000
CONVEX HULL SIZE: 24
