FILENAME: ./data/data_7_abi.txt
PATTERN: wine
Running OBST using Dynamic Programming....
0) D:  | f(D): 0 | l(D): 0
1) D: a | f(D): 17 | l(D): 1
2) D: ability | f(D): 6 | l(D): 7
3) D: above | f(D): 1 | l(D): 5
4) D: abroad | f(D): 2 | l(D): 6
5) D: academic | f(D): 26 | l(D): 8
6) D: access | f(D): 1 | l(D): 6
7) D: accommodation | f(D): 1 | l(D): 13
8) D: accompanied | f(D): 1 | l(D): 11
9) D: accomplish | f(D): 1 | l(D): 10
10) D: accordance | f(D): 3 | l(D): 10
11) D: account | f(D): 1 | l(D): 7
12) D: accurately | f(D): 1 | l(D): 10
13) D: acquire | f(D): 1 | l(D): 7
14) D: across | f(D): 1 | l(D): 6
15) D: act | f(D): 7 | l(D): 3
16) D: activities | f(D): 2 | l(D): 10
17) D: addition | f(D): 6 | l(D): 8
18) D: address | f(D): 9 | l(D): 7
19) D: administering | f(D): 1 | l(D): 13
20) D: administrative | f(D): 1 | l(D): 14
21) D: admission | f(D): 8 | l(D): 9
22) D: advanced | f(D): 5 | l(D): 8
23) D: advising | f(D): 1 | l(D): 8
24) D: advisors | f(D): 1 | l(D): 8
25) D: after | f(D): 1 | l(D): 5
26) D: agreements | f(D): 1 | l(D): 10
27) D: all | f(D): 6 | l(D): 3
28) D: allocating | f(D): 1 | l(D): 10
29) D: also | f(D): 5 | l(D): 4
30) D: alteration | f(D): 1 | l(D): 10
31) D: alternate | f(D): 1 | l(D): 9
32) D: alumni | f(D): 1 | l(D): 6
33) D: amendments | f(D): 4 | l(D): 10
34) D: an | f(D): 6 | l(D): 2
35) D: analysis | f(D): 3 | l(D): 8
36) D: and | f(D): 103 | l(D): 3
37) D: another | f(D): 2 | l(D): 7
38) D: any | f(D): 9 | l(D): 3
39) D: appeals | f(D): 4 | l(D): 7
40) D: applicants | f(D): 1 | l(D): 10
41) D: application | f(D): 4 | l(D): 11
42) D: apply | f(D): 3 | l(D): 5
43) D: applying | f(D): 2 | l(D): 8
44) D: appropriate | f(D): 1 | l(D): 11
45) D: approval | f(D): 2 | l(D): 8
46) D: are | f(D): 8 | l(D): 3
47) D: arguments | f(D): 1 | l(D): 9
48) D: arise | f(D): 1 | l(D): 5
49) D: arts | f(D): 1 | l(D): 4
50) D: as | f(D): 13 | l(D): 2
51) D: asked | f(D): 1 | l(D): 5
52) D: aspects | f(D): 1 | l(D): 7
53) D: assessment | f(D): 5 | l(D): 10
54) D: assignment | f(D): 1 | l(D): 10
55) D: associate | f(D): 2 | l(D): 9
56) D: associated | f(D): 1 | l(D): 10
57) D: association | f(D): 1 | l(D): 11
58) D: assurance | f(D): 1 | l(D): 9
59) D: at | f(D): 10 | l(D): 2
60) D: attendance | f(D): 1 | l(D): 10
61) D: attentiveness | f(D): 1 | l(D): 13
62) D: authority | f(D): 3 | l(D): 9
63) D: authorizing | f(D): 1 | l(D): 11
64) D: available | f(D): 2 | l(D): 9
65) D: basis | f(D): 2 | l(D): 5
66) D: battery | f(D): 1 | l(D): 7
67) D: bay | f(D): 1 | l(D): 3
68) D: be | f(D): 6 | l(D): 2
69) D: behalf | f(D): 1 | l(D): 6
70) D: behaviour | f(D): 3 | l(D): 9
71) D: behind | f(D): 1 | l(D): 6
72) D: below | f(D): 1 | l(D): 5
73) D: beyond | f(D): 1 | l(D): 6
74) D: bind | f(D): 1 | l(D): 4
75) D: birth | f(D): 1 | l(D): 5
76) D: block | f(D): 1 | l(D): 5
77) D: boundaries | f(D): 1 | l(D): 10
78) D: branch | f(D): 1 | l(D): 6
79) D: breadth | f(D): 2 | l(D): 7
80) D: bringing | f(D): 1 | l(D): 8
81) D: british | f(D): 1 | l(D): 7
82) D: broader | f(D): 1 | l(D): 7
83) D: but | f(D): 7 | l(D): 3
84) D: by | f(D): 11 | l(D): 2
85) D: calculation | f(D): 2 | l(D): 11
86) D: calendar | f(D): 6 | l(D): 8
87) D: call | f(D): 1 | l(D): 4
88) D: campus | f(D): 5 | l(D): 6
89) D: can | f(D): 2 | l(D): 3
90) D: canada | f(D): 9 | l(D): 6
91) D: cancellation | f(D): 1 | l(D): 12
92) D: carry | f(D): 1 | l(D): 5
93) D: cause | f(D): 2 | l(D): 5
94) D: centennial | f(D): 1 | l(D): 10
95) D: central | f(D): 1 | l(D): 7
96) D: centre | f(D): 2 | l(D): 6
97) D: certain | f(D): 1 | l(D): 7
98) D: chair | f(D): 1 | l(D): 5
99) D: change | f(D): 5 | l(D): 6
100) D: chapter | f(D): 1 | l(D): 7
101) D: characteristics | f(D): 1 | l(D): 15
102) D: checking | f(D): 1 | l(D): 8
103) D: childcare | f(D): 1 | l(D): 9
104) D: citizenship | f(D): 1 | l(D): 11
105) D: civic | f(D): 2 | l(D): 5
106) D: civilization | f(D): 2 | l(D): 12
107) D: class | f(D): 3 | l(D): 5
108) D: clear | f(D): 1 | l(D): 5
109) D: code | f(D): 1 | l(D): 4
110) D: coding | f(D): 1 | l(D): 6
111) D: collect | f(D): 2 | l(D): 7
112) D: collected | f(D): 1 | l(D): 9
113) D: collection | f(D): 3 | l(D): 10
114) D: college | f(D): 17 | l(D): 7
115) D: columbia | f(D): 1 | l(D): 8
116) D: combination | f(D): 1 | l(D): 11
117) D: comfort | f(D): 1 | l(D): 7
118) D: committed | f(D): 1 | l(D): 9
119) D: committee | f(D): 1 | l(D): 9
120) D: communicate | f(D): 1 | l(D): 11
121) D: communicating | f(D): 2 | l(D): 13
122) D: communication | f(D): 8 | l(D): 13
123) D: community | f(D): 1 | l(D): 9
124) D: competence | f(D): 2 | l(D): 10
125) D: complete | f(D): 2 | l(D): 8
126) D: comprehension | f(D): 2 | l(D): 13
127) D: comprises | f(D): 1 | l(D): 9
128) D: concept | f(D): 1 | l(D): 7
129) D: conduct | f(D): 1 | l(D): 7
130) D: conducted | f(D): 1 | l(D): 9
131) D: confidential | f(D): 1 | l(D): 12
132) D: confidentiality | f(D): 2 | l(D): 15
133) D: consideration | f(D): 3 | l(D): 13
134) D: constitute | f(D): 1 | l(D): 10
135) D: contained | f(D): 1 | l(D): 9
136) D: contents | f(D): 1 | l(D): 8
137) D: context | f(D): 2 | l(D): 7
138) D: continuation | f(D): 1 | l(D): 12
139) D: continue | f(D): 1 | l(D): 8
140) D: control | f(D): 1 | l(D): 7
141) D: convey | f(D): 1 | l(D): 6
142) D: council | f(D): 1 | l(D): 7
143) D: counselling | f(D): 1 | l(D): 11
144) D: course | f(D): 4 | l(D): 6
145) D: courses | f(D): 12 | l(D): 7
146) D: creative | f(D): 3 | l(D): 8
147) D: credit | f(D): 2 | l(D): 6
148) D: criteria | f(D): 1 | l(D): 8
149) D: critical | f(D): 3 | l(D): 8
150) D: cultural | f(D): 1 | l(D): 8
151) D: culture | f(D): 4 | l(D): 7
152) D: currently | f(D): 2 | l(D): 9
153) D: curricula | f(D): 2 | l(D): 9
154) D: data | f(D): 5 | l(D): 4
155) D: date | f(D): 4 | l(D): 4
156) D: deadline | f(D): 2 | l(D): 8
157) D: december | f(D): 1 | l(D): 8
158) D: decisions | f(D): 2 | l(D): 9
159) D: deferred | f(D): 2 | l(D): 8
160) D: definition | f(D): 1 | l(D): 10
161) D: degree | f(D): 8 | l(D): 6
162) D: department | f(D): 3 | l(D): 10
163) D: depending | f(D): 1 | l(D): 9
164) D: depth | f(D): 2 | l(D): 5
165) D: designed | f(D): 2 | l(D): 8
166) D: detail | f(D): 2 | l(D): 6
167) D: development | f(D): 4 | l(D): 11
168) D: digits | f(D): 1 | l(D): 6
169) D: diploma | f(D): 2 | l(D): 7
170) D: diplomas | f(D): 1 | l(D): 8
171) D: directly | f(D): 1 | l(D): 8
172) D: director | f(D): 1 | l(D): 8
173) D: disciplinary | f(D): 1 | l(D): 12
174) D: discipline | f(D): 2 | l(D): 10
175) D: disciplines | f(D): 1 | l(D): 11
176) D: disclosure | f(D): 10 | l(D): 10
177) D: discover | f(D): 1 | l(D): 8
178) D: discrepancy | f(D): 1 | l(D): 11
179) D: disobedience | f(D): 1 | l(D): 12
180) D: distance | f(D): 1 | l(D): 8
181) D: division | f(D): 1 | l(D): 8
182) D: documents | f(D): 1 | l(D): 9
183) D: domestic | f(D): 1 | l(D): 8
184) D: downloaded | f(D): 1 | l(D): 10
185) D: dropping | f(D): 1 | l(D): 8
186) D: each | f(D): 3 | l(D): 4
187) D: education | f(D): 7 | l(D): 9
188) D: effectively | f(D): 2 | l(D): 11
189) D: either | f(D): 1 | l(D): 6
190) D: eligible | f(D): 1 | l(D): 8
191) D: email | f(D): 4 | l(D): 5
192) D: emergencies | f(D): 1 | l(D): 11
193) D: encompasses | f(D): 1 | l(D): 11
194) D: end | f(D): 1 | l(D): 3
195) D: engagement | f(D): 2 | l(D): 10
196) D: english | f(D): 8 | l(D): 7
197) D: enrolled | f(D): 3 | l(D): 8
198) D: enrolment | f(D): 5 | l(D): 9
199) D: entry | f(D): 1 | l(D): 5
200) D: environmental | f(D): 1 | l(D): 13
201) D: equivalent | f(D): 1 | l(D): 10
202) D: errors | f(D): 1 | l(D): 6
203) D: essential | f(D): 2 | l(D): 9
204) D: establish | f(D): 1 | l(D): 9
205) D: establishing | f(D): 1 | l(D): 12
206) D: ethical | f(D): 5 | l(D): 7
207) D: european | f(D): 5 | l(D): 8
208) D: event | f(D): 1 | l(D): 5
209) D: evidence | f(D): 1 | l(D): 8
210) D: examinations | f(D): 4 | l(D): 12
211) D: excerpt | f(D): 1 | l(D): 7
212) D: exchange | f(D): 2 | l(D): 8
213) D: exists | f(D): 1 | l(D): 6
214) D: expectations | f(D): 1 | l(D): 12
215) D: external | f(D): 2 | l(D): 8
216) D: extract | f(D): 1 | l(D): 7
217) D: facilities | f(D): 1 | l(D): 10
218) D: faculty | f(D): 2 | l(D): 7
219) D: failed | f(D): 1 | l(D): 6
220) D: failure | f(D): 1 | l(D): 7
221) D: fall | f(D): 3 | l(D): 4
222) D: federal | f(D): 1 | l(D): 7
223) D: fee | f(D): 1 | l(D): 3
224) D: fees | f(D): 9 | l(D): 4
225) D: final | f(D): 5 | l(D): 5
226) D: finance | f(D): 1 | l(D): 7
227) D: fire | f(D): 1 | l(D): 4
228) D: first | f(D): 1 | l(D): 5
229) D: five | f(D): 1 | l(D): 4
230) D: floor | f(D): 1 | l(D): 5
231) D: following | f(D): 4 | l(D): 9
232) D: for | f(D): 32 | l(D): 3
233) D: force | f(D): 1 | l(D): 5
234) D: foreign | f(D): 1 | l(D): 7
235) D: form | f(D): 2 | l(D): 4
